web,speciesID,degree,species.strength,closeness,weighted.closeness,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
Ibanez2013,49,11,1.125671551,0.037925697,0.033643017,2.397895273,11,0.487531587,0.431972789,0.135055681
Ibanez2013,50,13,1.208211233,0.03869969,0.039379262,2.564949357,13,0.576173694,0.568027211,0.087806616
janzen1980,10,1,0.25,0.12195122,0.076023392,0,1,0.126377916,0.2,0
janzen1980,11,1,0.25,0.12195122,0.076023392,0,1,0.126377916,0.2,0
janzen1980,12,2,0.75,0.12195122,0.072222222,0.693147181,2,0.252755831,0.3,0.25
janzen1980,13,2,0.583333333,0.12195122,0.096296296,0.693147181,2,0.252755831,0.35,0.103759375
janzen1980,14,1,0.25,0.12195122,0.076023392,0,1,0.126377916,0.2,0
janzen1980,15,3,1.083333333,0.12195122,0.103174603,1.098612289,3,0.379133747,0.45,0.179052232
janzen1980,16,8,4.833333333,0.170731707,0.131313131,2.079441542,8,1.011023324,0.725,0.116482745
janzen1980,17,2,1,0.097560976,0.08496732,0.693147181,2,0.252755831,0.2,0.5
janzen2003,465,12,4.491666667,0.009015754,0.001195429,2.48490665,12,0.033232475,0.038077969,0.503296347
janzen2003,466,2,1,0.004455563,0.000805016,0.693147181,2,0.005538746,0.003626473,0.721057054
janzen2003,467,11,6.083333333,0.006135946,0.000816836,2.397895273,11,0.030463102,0.022665458,0.687111121
janzen2003,468,18,10.58333333,0.004968406,0.000775977,2.890371758,18,0.049848713,0.033544878,0.7116386
janzen2003,469,9,4.083333333,0.004829636,0.000767482,2.197224577,9,0.024924356,0.020852221,0.62503496
janzen2003,470,2,1,0.00391838,0.000670309,0.693147181,2,0.005538746,0.003626473,0.721057054
janzen2003,471,8,5.583333333,0.006072178,0.000759503,2.079441542,8,0.022154983,0.013599275,0.793703439
janzen2003,472,4,1.5,0.005059818,0.000637907,1.386294361,4,0.011077492,0.01087942,0.57412945
janzen2003,473,8,5.5,0.007570894,0.000871096,2.079441542,8,0.022154983,0.015412511,0.772096176
janzen2003,474,3,0.75,0.00773048,0.000928931,1.098612289,3,0.008308119,0.01631913,0.364506457
janzen2003,475,8,2.674242424,0.008379725,0.001061386,2.079441542,8,0.022154983,0.034451496,0.453346212
janzen2003,476,2,0.533333333,0.006456109,0.000838081,0.693147181,2,0.005538746,0.007252947,0.455100214
janzen2003,477,2,0.416666667,0.007665059,0.00105456,0.693147181,2,0.005538746,0.009066183,0.360528527
janzen2003,478,2,1.333333333,0.00581215,0.000741943,0.693147181,2,0.005538746,0.003626473,0.778942946
janzen2003,479,2,0.533333333,0.006456109,0.000838081,0.693147181,2,0.005538746,0.007252947,0.455100214
janzen2003,480,4,0.483766234,0.00800802,0.001062737,1.386294361,4,0.011077492,0.032638259,0.117261802
janzen2003,481,38,16.44531025,0.01108574,0.001310388,3.63758616,38,0.105236171,0.152311877,0.394055736
