web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
coley2006,42,1,0.03030303,0.2,-0.8,0.567567568,1,1,1,0.2,2.594594595,0,0,0.02472898,0.01063294,134217776.5,0,1,0.034979179,0.056818182,0.101755598
coley2006,43,1,0.03030303,0.333333333,-0.666666667,0.594594595,1,1,1,0.333333333,2.972972973,0,0,0.020857271,0.008509749,134217776.5,0,1,0.034979179,0.034090909,0.386852807
coley2006,44,1,0.03030303,0.2,-0.8,0.621621622,1,1,1,0.2,2.594594595,0,0,0.02472898,0.01063294,134217776.5,0,1,0.034979179,0.056818182,0.101755598
coley2006,45,1,0.03030303,0.333333333,-0.666666667,0.648648649,1,1,1,0.333333333,2.702702703,0,0,0.022730679,0.009248442,134217776.5,0,1,0.034979179,0.034090909,0.386852807
coley2006,46,1,0.03030303,0.5,-0.5,0.675675676,1,1,1,0.5,3.027027027,0,0,0.02028276,0.008690217,134217776.5,0,1,0.034979179,0.022727273,0.613147193
coley2006,47,1,0.03030303,0.25,-0.75,0.702702703,1,1,1,0.25,2.567567568,0,0,0.024354299,0.009810502,134217776.5,0,1,0.034979179,0.045454545,0.226294386
coley2006,48,1,0.03030303,0.25,-0.75,0.72972973,1,1,1,0.25,2.648648649,0,0,0.023604936,0.009495727,134217776.5,0,1,0.034979179,0.045454545,0.226294386
coley2006,49,3,0.090909091,1.166666667,0.055555556,0.216216216,0.9375,0.9375,0.559016994,0.388888889,2.351351351,0.014170581,0.013779377,0.026852176,0.011733707,536870956.2,1.098612289,3,0.104937538,0.090909091,0.423152637
coley2006,50,3,0.090909091,0.7,-0.1,0.243243243,0.9375,0.9375,0.559016994,0.233333333,2.405405405,0.017408124,0.016305596,0.027601539,0.013520565,536870956.2,1.098612289,3,0.104937538,0.159090909,0.101948275
coley2006,51,1,0.03030303,0.2,-0.8,0.756756757,1,1,1,0.2,2.513513514,0,0,0.025228556,0.009865005,134217776.5,0,1,0.034979179,0.056818182,0.101755598
coley2006,52,3,0.090909091,0.95,-0.016666667,0.27027027,0.9375,0.9375,0.559016994,0.316666667,2.189189189,0.040054803,0.024925362,0.030224309,0.012475651,536870956.2,1.098612289,3,0.104937538,0.125,0.263790071
coley2006,53,9,0.272727273,5.333333333,0.481481481,0,0.75,0.75,0.288675135,0.592592593,2.054054054,0.098602284,0.09982393,0.032347505,0.013418395,2147483653,2.197224577,9,0.314812614,0.227272727,0.558787003
coley2006,54,1,0.03030303,0.333333333,-0.666666667,0.783783784,1,1,1,0.333333333,2.972972973,0,0,0.020857271,0.008509749,134217776.5,0,1,0.034979179,0.034090909,0.386852807
coley2006,55,1,0.03030303,0.25,-0.75,0.810810811,1,1,1,0.25,2.567567568,0,0,0.024229405,0.010696994,134217776.5,0,1,0.034979179,0.045454545,0.226294386
