web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d
janzen1980,1,2,0.25,0.625,-0.1875,0.375,0.857142857,0.654653671,0.857142857,1,1.125,0,0,0.113636364,0.110294118,268435505,0.693147181,2,0.5,0.333513319,0.127582832
janzen1980,2,2,0.25,0.625,-0.1875,0.5,0.857142857,0.654653671,0.857142857,1,1.125,0,0,0.113636364,0.110294118,268435505,0.693147181,2,0.5,0.333513319,0.127582832
janzen1980,3,4,0.5,1.458333333,0.114583333,0,0.571428571,0.377964473,0.571428571,1,1,0.5,1,0.121212121,0.129124821,2147483650,1.386294361,4,0.6,0.667026637,0
janzen1980,4,3,0.375,0.958333333,-0.013888889,0.25,0.714285714,0.487950036,0.714285714,1,1,0.5,0,0.121212121,0.123119015,536870956.2,1.098612289,3,0.583333333,0.500269978,8.60E-17
janzen1980,5,2,0.25,0.833333333,-0.083333333,0.625,0.857142857,0.654653671,0.857142857,1,1.75,0,0,0.075757576,0.085388994,268435505,0.693147181,2,0.25,0.333513319,0.436208584
janzen1980,6,4,0.5,3.125,0.53125,0.125,0.571428571,0.377964473,0.571428571,1,1.125,0,0,0.113636364,0.103806228,2147483650,1.386294361,4,0.4,0.667026637,0.54441654
janzen1980,7,1,0.125,0.125,-0.875,0.75,1,1,1,1,1.125,0,0,0.113636364,0.103806228,134217776.5,0,1,0.4,0.166756659,0
janzen1980,8,1,0.125,0.125,-0.875,0.875,1,1,1,1,1.125,0,0,0.113636364,0.103806228,134217776.5,0,1,0.4,0.166756659,0
janzen1980,9,1,0.125,0.125,-0.875,1,1,1,1,1,1.125,0,0,0.113636364,0.103806228,134217776.5,0,1,0.4,0.166756659,0
janzen2003,1,2,0.012738854,0.583333333,-0.208333333,0.319654428,0.993589744,0.70483677,0.993589744,1,4.630669546,0.00240899,0.002200915,0.00191156,0.000368657,268435505,0.693147181,2,0.006346328,0.017746058,0.645260741
janzen2003,2,3,0.01910828,0.225,-0.258333333,0.203023758,0.987179487,0.573637367,0.987179487,1,3.293736501,0.003749018,4.39E-05,0.002808917,0.000569311,536870956.2,1.098612289,3,0.041704442,0.026619087,0.217755497
janzen2003,3,1,0.006369427,0.333333333,-0.666666667,0.56587473,1,1,1,1,5.626349892,0,0,0.001504245,0.00029817,134217776.5,0,1,0.002719855,0.008873029,0.697983157
janzen2003,4,1,0.006369427,0.25,-0.75,0.568034557,1,1,1,1,5.250539957,0,0,0.001728536,0.000361464,134217776.5,0,1,0.003626473,0.008873029,0.618897175
janzen2003,5,2,0.012738854,0.169934641,-0.41503268,0.321814255,0.993589744,0.70483677,0.993589744,1,3.725701944,0.002057002,0.001341555,0.002520918,0.00047522,268435505,0.693147181,2,0.023572076,0.017746058,0.281866857
janzen2003,6,1,0.006369427,0.25,-0.75,0.570194384,1,1,1,1,5.699784017,0,0,0.001527759,0.000294277,134217776.5,0,1,0.003626473,0.008873029,0.618897175
janzen2003,7,2,0.012738854,0.555555556,-0.222222222,0.323974082,0.993589744,0.70483677,0.993589744,1,5.6587473,0,0,0.001662082,0.000300862,268435505,0.693147181,2,0.018132366,0.017746058,0.488425509
janzen2003,8,1,0.006369427,0.055555556,-0.944444444,0.572354212,1,1,1,1,5.6587473,0,0,0.001662082,0.000300799,134217776.5,0,1,0.01631913,0.008873029,0.205414901
janzen2003,9,2,0.012738854,0.555555556,-0.222222222,0.326133909,0.993589744,0.70483677,0.993589744,1,5.6587473,0,0,0.001662082,0.000300862,268435505,0.693147181,2,0.018132366,0.017746058,0.488425509
janzen2003,10,6,0.038216561,0.803729062,-0.032711823,0.041036717,0.967948718,0.401652569,0.967948718,1,2.971922246,0.015790078,0.044965218,0.003369231,0.00063827,1073741870,1.791759469,6,0.094288305,0.053238174,0.21826246
janzen2003,11,1,0.006369427,0.5,-0.5,0.574514039,1,1,1,1,6.654427646,0,0,0.001299603,0.000252161,134217776.5,0,1,0.001813237,0.008873029,0.809448588
janzen2003,12,2,0.012738854,0.201923077,-0.399038462,0.328293737,0.993589744,0.70483677,0.993589744,1,4.440604752,0,0,0.001983954,0.000427004,268435505,0.693147181,2,0.019038985,0.017746058,0.336977995
janzen2003,13,2,0.012738854,0.201923077,-0.399038462,0.330453564,0.993589744,0.70483677,0.993589744,1,4.440604752,0,0,0.001983954,0.000427004,268435505,0.693147181,2,0.019038985,0.017746058,0.336977995
janzen2003,14,3,0.01910828,0.701923077,-0.099358974,0.205183585,0.987179487,0.573637367,0.987179487,1,4.440604752,0,0,0.001983954,0.000427173,536870956.2,1.098612289,3,0.020852221,0.026619087,0.475835047
janzen2003,15,3,0.01910828,0.260746606,-0.246417798,0.207343413,0.987179487,0.573637367,0.987179487,1,3.47300216,0.008193702,0.007416151,0.00264381,0.000492589,536870956.2,1.098612289,3,0.034451496,0.026619087,0.265673046
janzen2003,16,3,0.01910828,0.260746606,-0.246417798,0.20950324,0.987179487,0.573637367,0.987179487,1,3.47300216,0.008193702,0.007555797,0.00264381,0.000492589,536870956.2,1.098612289,3,0.034451496,0.026619087,0.265673046
janzen2003,17,1,0.006369427,0.0625,-0.9375,0.576673866,1,1,1,1,3.857451404,0,0,0.002468687,0.000436678,134217776.5,0,1,0.014505893,0.008873029,0.23779435
janzen2003,18,2,0.012738854,0.125,-0.4375,0.332613391,0.993589744,0.70483677,0.993589744,1,3.373650108,2.67E-05,0,0.00269608,0.000538642,268435505,0.693147181,2,0.032638259,0.017746058,0.191569467
